University Name,Established Since,Sector,Chartered By,City,Province,Recognised University
Sindh Institute of Management & Technology,3/18/2015,Private,Government of Sindh,Karachi,Sindh,Yes
Sindh Institute of Medical Sciences,6/29/2009,Private,Government of Sindh,Karachi,Sindh,Yes
Sindh Madresatul Islam University,12/22/2011,Public,Government of Sindh,Karachi,Sindh,Yes
"Sir Syed (CASE) Institute of Technology, Islamabad",5/24/2018,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
Sir Syed University of Engineering & Technology,10/25/1995,Private,Government of Sindh,Karachi,Sindh,Yes
"Sohail University, Karachi",5/9/2018,Private,Government of Sindh,Karachi,Sindh,Yes
Sukkur Institute of Business Administration,4/24/2006,Public,Government of Sindh,Sukkur,Sindh,Yes
Textile Institute of Pakistan,4/21/2001,Private,Government of Sindh,Karachi,Sindh,Yes
"Thal University, Bhakkar",2/9/2022,Public,Government of Punjab,Bhakkar,Punjab,Yes
"The Bolan University of Medical and Health Sciences, Quetta",12/11/2017,Public,Government of Balochistan,Quetta,Balochistan,Yes
"The Grand Asian University, Sialkot",12/24/2021,Private,Government of Punjab,Sialkot,Punjab,Yes
"The Green International University, Lahore",6/4/2020,Private,Government of Punjab,Lahore,Punjab,Yes
The Nazeer Hussain University,5/30/2003,Private,Government of Sindh,Karachi,Sindh,Yes
"The Shaikh Ayaz University, Shikarpur Sindh",6/7/2018,Public,Government of Sindh,Shikarpur,Sindh,Yes
The Superior University,6/16/2004,Private,Government of Punjab,Lahore,Punjab,Yes
"The University of Agriculture, D. I. Khan",3/7/2018,Public,Government of Khyber Pakhtunkhwa,Dera Ismail Khan,Khyber Pakhtunkhwa,Yes
The University of Faisalabad,10/2/2003,Private,Government of Punjab,Faisalabad,Punjab,Yes
The Women University,8/2/2010,Public,Government of Pakistan,Multan,Punjab,Yes
"Times Institute, Multan",9/16/2020,Private,Government of Punjab,Multan,Punjab,Yes
"UIT University, Karachi",5/28/2018,Private,Government of Sindh,Karachi,Sindh,Yes
University of Agriculture,5/24/1973,Public,Government of Punjab,Faisalabad,Punjab,Yes
"University of Art and Culture, Jamshoro",4/17/2018,Private,Government of Sindh,Jamshoro,Sindh,Yes
University of Azad Jammu & Kashmir,12/8/1985,Public,Government of AJK,Muzaffarabad,Azad Jammu & Kashmir,Yes
University of Balochistan,7/1/1996,Public,Government of Balochistan,Quetta,Balochistan,Yes
"University of Baltistan, Skardu",8/25/2017,Public,Government of Pakistan,Skardu,Gilgit Baltistan,Yes
University of Buner,11/30/2016,Public,Government of Khyber Pakhtunkhwa,Bunair,Khyber Pakhtunkhwa,Yes
University of Central Punjab,4/10/2002,Private,Government of Punjab,Lahore,Punjab,Yes
"University of Chakwal, Chakwal",1/9/2020,Public,Government of Punjab,Chakwal,Punjab,Yes
"University of Chenab, Gujrat",10/1/2021,Private,Government of Punjab,Gujrat,Punjab,Yes
"University of Child Health Sciences, Lahore",6/30/2021,Public,Government of Punjab,Lahore,Punjab,Yes
University of Chitral,5/2/2019,Public,Government of Khyber Pakhtunkhwa,Chitral,Khyber Pakhtunkhwa,Yes
University of Education,9/10/2002,Public,Government of Punjab,Lahore,Punjab,Yes
University of Engineering & Technology,10/23/1980,Public,Government of Pakistan,Peshawar,Khyber Pakhtunkhwa,Yes
University of Engineering & Technology,4/11/1974,Public,Government of Punjab,Lahore,Punjab,Yes
"University of Engineering & Technology (UET), Mardan",3/7/2018,Public,Government of Khyber Pakhtunkhwa,Mardan,Khyber Pakhtunkhwa,Yes
"University of Engineering & Technology, Taxila",12/7/1994,Public,Government of Punjab,Rawalpindi,Punjab,Yes
"University of Engineering and Applied Sciences, Swat",9/21/2021,Public,Government of Khyber Pakhtunkhwa,Swat,Khyber Pakhtunkhwa,Yes
University of FATA,5/22/2013,Public,Government of Khyber Pakhtunkhwa,Kohat,Khyber Pakhtunkhwa,Yes
